 X ,YCOO, ZCOO ,SCAL
  2.000000000000000E-006 ,  2.000000000000000E-006 , 0,  5.757390249362889E-009
  2.000000000000000E-006 ,  6.000000000000000E-006 , 0,  2.198651459571063E-008
  2.000000000000000E-006 ,  9.999999999999999E-006 , 0,  3.368774583781884E-008
  2.000000000000000E-006 ,  1.400000000000000E-005 , 0,  4.420814932234878E-008
  2.000000000000000E-006 ,  1.800000000000000E-005 , 0,  5.383421688350110E-008
  2.000000000000000E-006 ,  2.200000000000000E-005 , 0,  6.320637082379939E-008
  2.000000000000000E-006 ,  2.600000000000000E-005 , 0,  7.186830900839183E-008
  2.000000000000000E-006 ,  3.000000000000000E-005 , 0,  8.047329481412314E-008
  2.000000000000000E-006 ,  3.400000000000000E-005 , 0,  8.839029323205827E-008
  2.000000000000000E-006 ,  3.800000000000000E-005 , 0,  9.631053882937374E-008
  2.000000000000000E-006 ,  4.200000000000000E-005 , 0,  1.037977911717686E-007
  2.000000000000000E-006 ,  4.700000000000000E-005 , 0,  1.128166513113799E-007
  2.000000000000000E-006 ,  5.450000000000000E-005 , 0,  1.256406437804363E-007
  2.000000000000000E-006 ,  6.549999999999999E-005 , 0,  1.425606277335107E-007
  2.000000000000000E-006 ,  8.150000000000000E-005 , 0,  1.632618525072251E-007
  2.000000000000000E-006 ,  1.050000000000000E-004 , 0,  1.852657852036513E-007
  2.000000000000000E-006 ,  1.400000000000000E-004 , 0,  2.007223255682674E-007
  2.000000000000000E-006 ,  1.955000000000000E-004 , 0,  2.076602608172254E-007
  2.000000000000000E-006 ,  2.650000000000000E-004 , 0,  2.085412031106575E-007
  6.000000000000000E-006 ,  2.000000000000000E-006 , 0,  2.198650703280535E-008
  6.000000000000000E-006 ,  6.000000000000000E-006 , 0,  1.625052720844030E-007
  6.000000000000000E-006 ,  9.999999999999999E-006 , 0,  2.837165300504791E-007
  6.000000000000000E-006 ,  1.400000000000000E-005 , 0,  4.031681904254030E-007
  6.000000000000000E-006 ,  1.800000000000000E-005 , 0,  5.231273390491967E-007
  6.000000000000000E-006 ,  2.200000000000000E-005 , 0,  6.404485215557300E-007
  6.000000000000000E-006 ,  2.600000000000000E-005 , 0,  7.586901650416139E-007
  6.000000000000000E-006 ,  3.000000000000000E-005 , 0,  8.730600033263172E-007
  6.000000000000000E-006 ,  3.400000000000000E-005 , 0,  9.879801564295977E-007
  6.000000000000000E-006 ,  3.800000000000000E-005 , 0,  1.098985268423464E-006
  6.000000000000000E-006 ,  4.200000000000000E-005 , 0,  1.209393935656577E-006
  6.000000000000000E-006 ,  4.700000000000000E-005 , 0,  1.343485247907009E-006
  6.000000000000000E-006 ,  5.450000000000000E-005 , 0,  1.537424305678970E-006
  6.000000000000000E-006 ,  6.549999999999999E-005 , 0,  1.801736894607412E-006
  6.000000000000000E-006 ,  8.150000000000000E-005 , 0,  2.134037085373306E-006
  6.000000000000000E-006 ,  1.050000000000000E-004 , 0,  2.492661620345843E-006
  6.000000000000000E-006 ,  1.400000000000000E-004 , 0,  2.753034992864991E-006
  6.000000000000000E-006 ,  1.955000000000000E-004 , 0,  2.864624649662640E-006
  6.000000000000000E-006 ,  2.650000000000000E-004 , 0,  2.883124987998884E-006
  9.999999999999999E-006 ,  2.000000000000000E-006 , 0,  3.368774515461954E-008
  9.999999999999999E-006 ,  6.000000000000000E-006 , 0,  2.837164375510493E-007
  9.999999999999999E-006 ,  9.999999999999999E-006 , 0,  4.931685003441735E-007
  9.999999999999999E-006 ,  1.400000000000000E-005 , 0,  7.020761681439847E-007
  9.999999999999999E-006 ,  1.800000000000000E-005 , 0,  9.058595797572612E-007
  9.999999999999999E-006 ,  2.200000000000000E-005 , 0,  1.112586901013833E-006
  9.999999999999999E-006 ,  2.600000000000000E-005 , 0,  1.311098452791064E-006
  9.999999999999999E-006 ,  3.000000000000000E-005 , 0,  1.513543237201132E-006
  9.999999999999999E-006 ,  3.400000000000000E-005 , 0,  1.706719227348511E-006
  9.999999999999999E-006 ,  3.800000000000000E-005 , 0,  1.901743305127941E-006
  9.999999999999999E-006 ,  4.200000000000000E-005 , 0,  2.088757590222012E-006
  9.999999999999999E-006 ,  4.700000000000000E-005 , 0,  2.320201557691203E-006
  9.999999999999999E-006 ,  5.450000000000000E-005 , 0,  2.651608907220223E-006
  9.999999999999999E-006 ,  6.549999999999999E-005 , 0,  3.104442096924575E-006
  9.999999999999999E-006 ,  8.150000000000000E-005 , 0,  3.670446330812186E-006
  9.999999999999999E-006 ,  1.050000000000000E-004 , 0,  4.278203008696984E-006
  9.999999999999999E-006 ,  1.400000000000000E-004 , 0,  4.717529118275490E-006
  9.999999999999999E-006 ,  1.955000000000000E-004 , 0,  4.902403608596648E-006
  9.999999999999999E-006 ,  2.650000000000000E-004 , 0,  4.934395687042790E-006
  1.400000000000000E-005 ,  2.000000000000000E-006 , 0,  4.420806003211923E-008
  1.400000000000000E-005 ,  6.000000000000000E-006 , 0,  4.031684238286097E-007
  1.400000000000000E-005 ,  9.999999999999999E-006 , 0,  7.020762541411428E-007
  1.400000000000000E-005 ,  1.400000000000000E-005 , 0,  9.936208118042155E-007
  1.400000000000000E-005 ,  1.800000000000000E-005 , 0,  1.288649713723709E-006
  1.400000000000000E-005 ,  2.200000000000000E-005 , 0,  1.572431634059491E-006
  1.400000000000000E-005 ,  2.600000000000000E-005 , 0,  1.864045967383707E-006
  1.400000000000000E-005 ,  3.000000000000000E-005 , 0,  2.140925429642159E-006
  1.400000000000000E-005 ,  3.400000000000000E-005 , 0,  2.424992002970560E-006
  1.400000000000000E-005 ,  3.800000000000000E-005 , 0,  2.694453310678883E-006
  1.400000000000000E-005 ,  4.200000000000000E-005 , 0,  2.964825506800954E-006
  1.400000000000000E-005 ,  4.700000000000000E-005 , 0,  3.290593248785544E-006
  1.400000000000000E-005 ,  5.450000000000000E-005 , 0,  3.760728532107040E-006
  1.400000000000000E-005 ,  6.549999999999999E-005 , 0,  4.403107714563176E-006
  1.400000000000000E-005 ,  8.150000000000000E-005 , 0,  5.201786029402280E-006
  1.400000000000000E-005 ,  1.050000000000000E-004 , 0,  6.055758539819671E-006
  1.400000000000000E-005 ,  1.400000000000000E-004 , 0,  6.664824170203718E-006
  1.400000000000000E-005 ,  1.955000000000000E-004 , 0,  6.918720331716910E-006
  1.400000000000000E-005 ,  2.650000000000000E-004 , 0,  6.961337466868712E-006
  1.800000000000000E-005 ,  2.000000000000000E-006 , 0,  5.383433081058297E-008
  1.800000000000000E-005 ,  6.000000000000000E-006 , 0,  5.231272051557851E-007
  1.800000000000000E-005 ,  9.999999999999999E-006 , 0,  9.058597218375218E-007
  1.800000000000000E-005 ,  1.400000000000000E-005 , 0,  1.288649114691771E-006
  1.800000000000000E-005 ,  1.800000000000000E-005 , 0,  1.659380759710621E-006
  1.800000000000000E-005 ,  2.200000000000000E-005 , 0,  2.039707728040518E-006
  1.800000000000000E-005 ,  2.600000000000000E-005 , 0,  2.402236288770841E-006
  1.800000000000000E-005 ,  3.000000000000000E-005 , 0,  2.778070430932308E-006
  1.800000000000000E-005 ,  3.400000000000000E-005 , 0,  3.132437631833752E-006
  1.800000000000000E-005 ,  3.800000000000000E-005 , 0,  3.492640249312825E-006
  1.800000000000000E-005 ,  4.200000000000000E-005 , 0,  3.837692038027252E-006
  1.800000000000000E-005 ,  4.700000000000000E-005 , 0,  4.262673034467616E-006
  1.800000000000000E-005 ,  5.450000000000000E-005 , 0,  4.872802173472059E-006
  1.800000000000000E-005 ,  6.549999999999999E-005 , 0,  5.708266902943926E-006
  1.800000000000000E-005 ,  8.150000000000000E-005 , 0,  6.742545060557334E-006
  1.800000000000000E-005 ,  1.050000000000000E-004 , 0,  7.838235365151799E-006
  1.800000000000000E-005 ,  1.400000000000000E-004 , 0,  8.605947417738749E-006
  1.800000000000000E-005 ,  1.955000000000000E-004 , 0,  8.922051469646232E-006
  1.800000000000000E-005 ,  2.650000000000000E-004 , 0,  8.975472245908973E-006
  2.200000000000000E-005 ,  2.000000000000000E-006 , 0,  6.320654504941217E-008
  2.200000000000000E-005 ,  6.000000000000000E-006 , 0,  6.404500235405130E-007
  2.200000000000000E-005 ,  9.999999999999999E-006 , 0,  1.112587298223571E-006
  2.200000000000000E-005 ,  1.400000000000000E-005 , 0,  1.572433552733952E-006
  2.200000000000000E-005 ,  1.800000000000000E-005 , 0,  2.039709109185672E-006
  2.200000000000000E-005 ,  2.200000000000000E-005 , 0,  2.489524159650671E-006
  2.200000000000000E-005 ,  2.600000000000000E-005 , 0,  2.956561775409028E-006
